asin,product_title,model,seller_name,price,mrp,is_buy_box_winner,fba_status,availability,pincode,scraped_at
B07179BP9M,HRB,6206,Narang Machinery,151.0,189,True,FBM,In stock,600001,2026-04-01T12:49:07.854026
B0BCZ741XX,"ZUBSHA ENTERPRISES 10 Pcs 6200ZZ Double Metal Seal Bearings 10x30x9mm, Pre-Lubricated and Stable Performance and Cost Effective, Deep Groove Ball Bearings.",6206,ZUBSHA ENTERPRISES,399.0,599,True,FBM,In stock,600001,2026-04-01T12:49:10.024836
B0BCWWMPFS,"ZUBSHA ENTERPRISES 6006-ZZ 2 Pcs Double Metal Seal Bearings 30x55x13mm, Pre-Lubricated and Stable Performance and Cost Effective, Deep Groove Ball Bearings.",6206,ZUBSHA ENTERPRISES,299.0,550,True,FBM,In stock,600001,2026-04-01T12:49:13.228792
B071J8PL72,HRB,6206,Narang Machinery,125.0,170,True,FBM,In stock,600001,2026-04-01T12:49:39.693082
B0BQR5J76Q,VSJ,6205,VSJ bearing,649.0,324.50,True,FBM,In stock,600001,2026-04-01T12:49:42.714104
B0GCX8FMFT,"Heavy Duty Single Row Deep Groove Ball Bearing 6201-2RS | Sealed Bearing | Inner Dia 12 mm, Outer Dia 32 mm, Width 10 mm | High Speed, Low Noise | Industrial & Motor Use (1)",6205,S.T SOLUTIONS,179.0,17.90,True,FBM,In stock,600001,2026-04-01T12:49:45.760040
B0FDG2VKZ1,BEARINGS 6301 2RS 7 BALL BEARING USED WHEEL OF BIKE PACK OF 2 PC AUTOMOTIVE BEARING,6205,JAINCO BEARING HOUSE,209.0,349,True,FBM,In stock,600001,2026-04-01T12:49:48.388039
B071FNSRNC,HRB,6205,Narang Machinery,52.0,73,True,FBM,In stock,600001,2026-04-01T12:49:51.270172
B09DQ138QV,SUPER - 5PCS 6301 2RS (RUBBER SEALED) BALL BEARINGS||6301 2RS ||,6205,SUPER BEARING,600.0,1200,True,FBM,In stock,600001,2026-04-01T12:50:15.056276
B0DFC4LNS7,HASTHIP,6205,MiraHome,603.0,301.50,True,FBM,In stock,600001,2026-04-01T12:50:17.844523
